model,threshold,roc_auc,average_precision,ks,brier_score,log_loss,precision,recall,f1,accuracy,top_10_capture_rate,top_20_capture_rate,top_10_lift,top_20_lift
Calibrated Tuned HistGradientBoosting,0.5,0.7821126382845802,0.5584679471541661,0.4312039001004827,0.13431381002962467,0.4278490797016174,0.6666666666666666,0.36623963828183875,0.4727626459143969,0.8193333333333334,0.31951770911831195,0.5124340617935192,3.1951770911831194,2.562170308967596
Tuned HistGradientBoosting,0.5,0.7819899981793468,0.5583830332566155,0.42871739414046384,0.1341217838203587,0.42772230188901644,0.6680440771349863,0.3654860587792012,0.47247929858743304,0.8195,0.3202712886209495,0.5146948003014318,3.202712886209495,2.573474001507159
HistGradientBoosting,0.5,0.7763858855994391,0.552461071313107,0.42262570449523956,0.13552187050810158,0.43161880509535167,0.6526867627785059,0.3752825923134891,0.47655502392344495,0.8176666666666667,0.32102486812358705,0.5056518462697814,3.21024868123587,2.5282592313489074
Random Forest,0.5,0.7663684224870186,0.5403157780317076,0.41078113764541635,0.15085619473887796,0.47639930026412175,0.5474391267842149,0.49133383571966843,0.5178713264495631,0.7976666666666666,0.3021853805576488,0.493594574227581,3.0218538055764883,2.4679728711379045
Logistic Regression,0.5,0.7626835751437131,0.5210911590957727,0.39998945343473735,0.18823419647568584,0.5692176501522572,0.44438356164383563,0.6111529766390355,0.5145939086294417,0.745,0.30143180105501133,0.49434815373021856,3.0143180105501126,2.4717407686510926
