model,cv_folds,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,fit_time_mean_seconds
Raw + business features,5,0.783244759542758,0.0030864236066626026,0.5562177384440924,0.0018247392655474182,0.4066530704498291
Raw features,5,0.7811171333550517,0.004154326548513973,0.5615673057703039,0.008470092548347463,0.3512430191040039
