risk_tier,n_clients,share,actual_default_rate,avg_predicted_default_prob,min_predicted_default_prob,max_predicted_default_prob
Low Risk,3000,0.5,0.08933333333333333,0.0902549052217362,0.03544295969872925,0.14699536869012278
Medium Risk,1800,0.3,0.21055555555555555,0.2065103487980101,0.14699845848155638,0.3340476732917921
High Risk,900,0.15,0.4988888888888889,0.5128563767495105,0.33430660389692973,0.7099065786284493
Very High Risk,300,0.05,0.77,0.749408568730529,0.7100087324102603,0.7926554925254802
