model,threshold,roc_auc,average_precision,ks,brier_score,log_loss,precision,recall,f1,accuracy,top_10_capture_rate,top_20_capture_rate,top_10_lift,top_20_lift
Calibrated Tuned HistGradientBoosting,0.5,0.7870144567116494,0.561200272101056,0.432939346009064,0.13313752484780253,0.42460471157281515,0.6811091854419411,0.3701262007911094,0.4796192335855504,0.8223333333333334,0.32021096251648146,0.5121491806366547,3.2021096251648147,2.5607459031832733
Tuned HistGradientBoosting,0.5,0.7859790998372184,0.557068922754889,0.43423823067981737,0.13341574793691843,0.42555969222122303,0.686934491494752,0.35750612168016577,0.47026759167492566,0.8218333333333333,0.3205876812959126,0.5123375400263703,3.2058768129591257,2.561687700131851
