model,threshold,roc_auc,average_precision,ks,brier_score,log_loss,precision,recall,f1,accuracy,top_10_capture_rate,top_20_capture_rate,top_10_lift,top_20_lift
Calibrated Tuned HistGradientBoosting | threshold=0.50,0.5,0.7821126382845802,0.5584679471541661,0.4312039001004827,0.13431381002962467,0.4278490797016174,0.6666666666666666,0.36623963828183875,0.4727626459143969,0.8193333333333334,0.31951770911831195,0.5124340617935192,3.1951770911831194,2.562170308967596
Calibrated Tuned HistGradientBoosting | cost-optimised threshold,0.16,0.7821126382845802,0.5584679471541661,0.4312039001004827,0.13431381002962467,0.4278490797016174,0.3710339678984696,0.7490580256217031,0.4962556165751373,0.6636666666666666,0.31951770911831195,0.5124340617935192,3.1951770911831194,2.562170308967596
